Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-7343-31_Kemet-D-uni,1,100uf,
"C10, C14, C16",1206,3,22uf,
"C11, C12, C13, C15, C17, C18, C19, C2, C20, C21, C22, C25, C3, C31, C38, C39, C4, C42, C43, C44, C5, C9",0805,22,100n,
C23,0805,1,2.2uf,
"C24, C26, C28, C29, C6, C8",0805,6,10uf,
"C27, C30",0805,2,2.2nf,
"C32, C33, C34, C35",0805,4,470n,
"C40, C41",CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,2,100u,
C7,CP_EIA-7343-31_Kemet-D-uni,1,47uf,
D1,0805,1,OK,
D2,0805,1,CHRG,
D3,D_SOD-323F,1,PMEG4010CEJ,
D4,D_SMA,1,SS14,
D5,0805,1,PWR,
ENCODER1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery,
J3,TFP09212B,1,SD Card,
J4,AUDIO_JACK_3.5MM_SMD_TRRS_rounded_mixed,1,MiniJack,
L1,L_Bourns_SRN8040TA,1,22uH,
Q1,SOT-23,1,IRLML6402,
Q2,SOT-23,1,BC807,
"Q3, Q4",SOT-23,2,BC817,
"R1, R2",0805,2,5K1,
R10,0805,1,1M,
R11,0805,1,100K,
"R12, R20, R21, R22, R23, R25, R36, R37, R38, R39, R40, R41, R6, R7, R9",0805,15,10K,
R15,0805,1,47k,
R16,0805,1,6.2k,
"R17, R18, R19, R24, R4, R44, R45",0805,7,1k,
"R26, R27",0805,2,470,
"R28, R29, R30, R31, R32, R33",0805,6,4.7K,
R3,0805,1,2R,
"R42, R43",0805,2,510,
R5,0805,1,"8,2К*",
R8,0805,1,2k*,
S1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,DOWN,
S2,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,UP,
S3,SW_EG1213,1,EG1213,
TFT1,ST7789,1,ST7789,
U1,SOIC-16W_7.5x10.3mm_P1.27mm,1,PCF8574AT,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,MB85RC256V,
U11,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
U12,ESP32-WROVER-IE,1,ESP32-WROVER-E,
U13,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U14,QFN50P400X400X80-21N,1,TPA6130A2RTJTG4,TPA6130A2RTJTG4
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U3, U4",SO-16_3.9x9.9mm_P1.27mm,2,74HC595,
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056,
"U6, U7",DIP-40_W15.24mm_Socket,2,AY-3-8910,
U8,SOT-23-6_Handsoldering,1,SDB628,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ,
