Designator,Mid X,Mid Y,Rotation,Layer
_4,70.0,-25.0,90.0,top
_3,25.0,-115.0,90.0,top
_2,70.0,-115.0,90.0,top
,25.0,-25.0,90.0,top
C1,26.035,-75.8952,270.0,bottom
C10,70.3072,-91.8464,90.0,bottom
C11,70.65,-100.04,270.0,bottom
C12,65.1764,-79.0448,0.0,bottom
C13,57.9628,-76.073,90.0,bottom
C14,61.8998,-101.9302,0.0,bottom
C15,49.53,-78.74,0.0,bottom
C16,46.26,-57.39,270.0,bottom
C17,27.26,-100.46,270.0,top
C18,26.47,-108.29,0.0,bottom
C19,34.84,-107.12,90.0,bottom
C2,26.0858,-56.8706,270.0,bottom
C20,41.47,-87.86,0.0,top
C21,36.3,-111.2,0.0,bottom
C22,31.37,-111.21,180.0,bottom
C23,30.82,-107.61,180.0,bottom
C24,69.1896,-79.0194,0.0,bottom
C25,66.548,-54.7624,180.0,bottom
C26,50.35,-57.39,270.0,bottom
C27,50.22,-27.59,180.0,top
C28,29.88,-34.41,90.0,bottom
C29,64.26,-28.71,90.0,bottom
C3,60.7822,-73.3298,270.0,bottom
C30,37.41,-46.12,0.0,bottom
C31,64.5922,-72.9742,270.0,top
C32,50.0362,-114.8334,180.0,top
C33,61.0108,-98.3996,90.0,bottom
C34,58.6994,-98.3996,90.0,bottom
C4,27.96,-91.57,90.0,bottom
C5,66.29,-98.0,0.0,bottom
C6,61.0362,-105.27,90.0,bottom
C7,58.6994,-105.2576,270.0,bottom
C8,72.0344,-105.4608,90.0,bottom
C9,49.5302,-73.152,0.0,bottom
D1,21.7,-109.73,0.0,top
D2,21.7,-106.49,180.0,top
D3,21.7,-103.25,0.0,top
D4,21.7,-100.02,180.0,top
ENCODER1,47.25,-102.0,0.0,top
J1,36.0,-117.729,0.0,bottom
J2,59.0296,-120.37006,90.0,bottom
J3,20.03,-38.5,0.0,top
L1,44.13,-90.53,0.0,bottom
Q1,68.84,-43.8,180.0,top
Q2,56.11,-87.41,0.0,top
Q3,61.29,-87.41,180.0,top
R1,63.42,-42.86,180.0,top
R10,29.91,-55.13,180.0,bottom
R11,31.5,-59.31,90.0,bottom
R12,28.448,-61.1124,270.0,bottom
R13,37.719,-77.8256,90.0,bottom
R14,32.4358,-71.7804,0.0,bottom
R15,29.7434,-73.9902,180.0,bottom
R16,31.5,-77.83,90.0,bottom
R17,28.45,-79.1972,270.0,bottom
R18,26.94,-90.32,180.0,top
R19,25.48,-95.23,270.0,top
R2,72.42,-43.87,270.0,top
R20,61.4934,-60.9092,90.0,bottom
R21,45.34,-30.97,180.0,top
R22,45.35,-33.33,180.0,top
R23,26.34,-104.73,0.0,top
R24,34.0,-102.44,180.0,bottom
R25,32.94,-99.38,90.0,bottom
R26,62.1444,-86.6648,0.0,bottom
R27,67.09,-86.66,180.0,bottom
R28,64.25,-36.56,90.0,bottom
R29,65.73,-32.56,180.0,bottom
R3,61.46,-80.09,90.0,bottom
R30,37.41,-42.35,180.0,bottom
R31,67.2084,-35.6108,90.0,bottom
R32,35.6108,-72.6694,270.0,bottom
R33,35.5854,-77.8256,90.0,bottom
R34,40.0,-92.18,270.0,top
R35,45.974,-112.5982,90.0,top
R36,50.0126,-110.9472,0.0,top
R37,44.76,-93.19,180.0,top
R38,54.0512,-111.9378,270.0,top
R39,66.2,-94.59,180.0,top
R4,35.92,-30.17,180.0,bottom
R40,31.71,-94.8,0.0,top
R41,45.1866,-114.6048,180.0,bottom
R42,45.1612,-117.094,180.0,bottom
R5,35.92,-33.98,180.0,bottom
R6,55.51,-39.48,90.0,top
R7,55.51,-33.52,90.0,top
R8,37.7444,-72.6948,270.0,bottom
R9,32.46,-52.6542,0.0,bottom
S2,32.5,-102.0,270.0,top
S4,62.5,-102.0,90.0,top
S6,19.51,-91.49,90.0,bottom
SW2,71.6534,-32.7152,90.0,bottom
SW3,71.6534,-38.8112,90.0,bottom
TFT1,47.5,-60.75,0.0,top
U1,47.495,-57.505,270.0,bottom
U2,47.495,-76.025,270.0,bottom
U3,63.675,-91.895,0.0,bottom
U4,50.0,-35.88,0.0,bottom
U5,67.3694,-105.4612,270.0,bottom
U6,28.14,-103.025,180.0,bottom
U7,66.7258,-74.041,0.0,bottom
U8,41.0,-57.5,90.0,top
U9,54.0,-57.5,90.0,top
Y3,56.0578,-93.6244,270.0,bottom
